state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
District of Columbia,2021-01-16,4,0,20,NA,854,780,1053,NA,NA
District of Columbia,2021-01-17,4,0,23,NA,857,782,1070,NA,NA
District of Columbia,2021-01-18,5,0,21,NA,862,782,1088,NA,NA
Florida,2020-12-21,118,37,268,NA,20686,20605,20836,NA,NA
Florida,2020-12-22,121,38,321,NA,20814,20680,21093,NA,NA
Florida,2020-12-23,123,41,323,NA,20948,20761,21314,NA,NA
Florida,2020-12-24,126,38,314,NA,21089,20850,21524,NA,NA
Florida,2020-12-25,127,36,331,NA,21224,20940,21746,NA,NA
Florida,2020-12-26,128,35,317,NA,21364,21021,22015,NA,NA
Florida,2020-12-27,130,36,334,NA,21503,21112,22204,NA,NA
Florida,2020-12-28,132,41,372,NA,21637,21206,22472,NA,NA
Florida,2020-12-29,126,38,345,NA,21778,21300,22653,NA,NA
Florida,2020-12-30,134,41,375,NA,21926,21386,22960,NA,NA
Florida,2020-12-31,140,37,361,NA,22072,21472,23207,NA,NA
Florida,2021-01-01,138,41,397,NA,22218,21553,23467,NA,NA
Florida,2021-01-02,133,41,396,NA,22365,21636,23750,NA,NA
Florida,2021-01-03,140,40,406,NA,22502,21731,24035,NA,NA
Florida,2021-01-04,138,36,415,NA,22666,21813,24364,NA,NA
Florida,2021-01-05,143,40,413,NA,22810,21878,24627,NA,NA
Florida,2021-01-06,147,36,445,NA,22973,21960,24909,NA,NA
Florida,2021-01-07,148,39,478,NA,23132,22030,25285,NA,NA
Florida,2021-01-08,150,38,447,NA,23289,22116,25690,NA,NA
Florida,2021-01-09,150,38,460,NA,23450,22214,26040,NA,NA
Florida,2021-01-10,150,37,497,NA,23629,22292,26460,NA,NA
Florida,2021-01-11,154,38,474,NA,23802,22388,26783,NA,NA
Florida,2021-01-12,146,37,509,NA,23952,22478,27162,NA,NA
Florida,2021-01-13,156,39,468,NA,24115,22539,27462,NA,NA
Florida,2021-01-14,152,37,509,NA,24282,22594,27924,NA,NA
Florida,2021-01-15,152,35,541,NA,24454,22672,28325,NA,NA
Florida,2021-01-16,154,35,519,NA,24618,22758,28642,NA,NA
Florida,2021-01-17,154,39,597,NA,24768,22855,29179,NA,NA
Florida,2021-01-18,155,38,616,NA,24940,22918,29774,NA,NA
Georgia,2020-12-21,32,6,110,NA,10415,10389,10493,NA,NA
Georgia,2020-12-22,32,5,101,NA,10453,10401,10556,NA,NA
Georgia,2020-12-23,32,5,104,NA,10490,10421,10611,NA,NA
Georgia,2020-12-24,32,5,108,NA,10526,10440,10680,NA,NA
Georgia,2020-12-25,30,5,114,NA,10560,10464,10756,NA,NA
Georgia,2020-12-26,30,5,114,NA,10599,10485,10830,NA,NA
Georgia,2020-12-27,30,5,109,NA,10632,10501,10895,NA,NA
Georgia,2020-12-28,29,4,107,NA,10667,10520,10956,NA,NA
Georgia,2020-12-29,30,5,122,NA,10697,10541,11030,NA,NA
Georgia,2020-12-30,30,4,111,NA,10731,10561,11090,NA,NA
Georgia,2020-12-31,29,3,115,NA,10765,10577,11164,NA,NA
Georgia,2021-01-01,27,4,112,NA,10794,10592,11226,NA,NA
Georgia,2021-01-02,29,4,115,NA,10825,10607,11297,NA,NA
Georgia,2021-01-03,26,3,111,NA,10856,10616,11380,NA,NA
Georgia,2021-01-04,26,4,110,NA,10888,10637,11433,NA,NA
Georgia,2021-01-05,26,3,108,NA,10916,10648,11501,NA,NA
Georgia,2021-01-06,26,4,121,NA,10946,10661,11587,NA,NA
Georgia,2021-01-07,25,4,120,NA,10972,10676,11672,NA,NA
Georgia,2021-01-08,24,3,121,NA,10996,10692,11743,NA,NA
Georgia,2021-01-09,24,2,109,NA,11020,10702,11832,NA,NA
Georgia,2021-01-10,23,2,118,NA,11049,10708,11898,NA,NA
Georgia,2021-01-11,24,3,110,NA,11077,10728,11959,NA,NA
Georgia,2021-01-12,23,3,121,NA,11100,10738,12028,NA,NA
Georgia,2021-01-13,23,2,119,NA,11126,10749,12175,NA,NA
Georgia,2021-01-14,23,2,111,NA,11148,10760,12224,NA,NA
Georgia,2021-01-15,22,2,122,NA,11173,10768,12311,NA,NA
Georgia,2021-01-16,20,2,124,NA,11200,10780,12389,NA,NA
Georgia,2021-01-17,20,2,134,NA,11217,10791,12486,NA,NA
Georgia,2021-01-18,20,2,132,NA,11242,10798,12601,NA,NA
Hawaii,2020-12-21,1,0,9,NA,286,285,294,NA,NA
Hawaii,2020-12-22,1,0,8,NA,288,285,298,NA,NA
Hawaii,2020-12-23,1,0,8,NA,290,285,301,NA,NA
Hawaii,2020-12-24,1,0,9,NA,292,285,306,NA,NA
Hawaii,2020-12-25,1,0,9,NA,294,286,311,NA,NA
Hawaii,2020-12-26,1,0,9,NA,296,287,317,NA,NA
Hawaii,2020-12-27,1,0,8,NA,298,287,320,NA,NA
Hawaii,2020-12-28,1,0,9,NA,300,288,323,NA,NA
Hawaii,2020-12-29,1,0,9,NA,301,289,327,NA,NA
Hawaii,2020-12-30,1,0,8,NA,303,289,329,NA,NA
Hawaii,2020-12-31,1,0,8,NA,305,290,333,NA,NA
Hawaii,2021-01-01,1,0,9,NA,307,291,338,NA,NA
Hawaii,2021-01-02,1,0,10,NA,309,291,341,NA,NA
Hawaii,2021-01-03,1,0,9,NA,311,292,348,NA,NA
Hawaii,2021-01-04,1,0,9,NA,313,293,353,NA,NA
Hawaii,2021-01-05,1,0,9,NA,315,293,355,NA,NA
Hawaii,2021-01-06,1,0,9,NA,316,294,360,NA,NA
Hawaii,2021-01-07,1,0,8,NA,318,295,366,NA,NA
Hawaii,2021-01-08,1,0,9,NA,320,295,369,NA,NA
Hawaii,2021-01-09,1,0,10,NA,322,295,377,NA,NA
Hawaii,2021-01-10,1,0,9,NA,324,296,381,NA,NA
Hawaii,2021-01-11,1,0,9,NA,326,296,384,NA,NA
Hawaii,2021-01-12,1,0,10,NA,328,297,388,NA,NA
Hawaii,2021-01-13,1,0,10,NA,329,297,395,NA,NA
Hawaii,2021-01-14,1,0,8,NA,331,298,399,NA,NA
Hawaii,2021-01-15,1,0,9,NA,333,298,403,NA,NA
Hawaii,2021-01-16,1,0,9,NA,334,299,408,NA,NA
Hawaii,2021-01-17,1,0,9,NA,336,299,414,NA,NA
Hawaii,2021-01-18,1,0,9,NA,338,300,419,NA,NA
Idaho,2020-12-21,15,3,46,NA,1297,1285,1328,NA,NA
Idaho,2020-12-22,15,2,50,NA,1314,1291,1365,NA,NA
Idaho,2020-12-23,14,2,44,NA,1330,1301,1392,NA,NA
Idaho,2020-12-24,14,2,44,NA,1346,1310,1418,NA,NA
Idaho,2020-12-25,14,3,47,NA,1363,1319,1447,NA,NA
Idaho,2020-12-26,14,2,46,NA,1378,1329,1474,NA,NA
Idaho,2020-12-27,14,2,44,NA,1394,1337,1505,NA,NA
Idaho,2020-12-28,13,2,43,NA,1408,1344,1531,NA,NA
Idaho,2020-12-29,12,2,45,NA,1422,1353,1558,NA,NA
Idaho,2020-12-30,12,2,42,NA,1437,1362,1584,NA,NA
Idaho,2020-12-31,12,1,45,NA,1450,1369,1613,NA,NA
Idaho,2021-01-01,12,2,41,NA,1463,1374,1646,NA,NA
Idaho,2021-01-02,12,2,45,NA,1476,1379,1666,NA,NA
Idaho,2021-01-03,11,1,40,NA,1490,1388,1682,NA,NA
Idaho,2021-01-04,11,1,39,NA,1502,1396,1709,NA,NA
Idaho,2021-01-05,10,1,38,NA,1514,1402,1733,NA,NA
Idaho,2021-01-06,10,1,38,NA,1525,1408,1752,NA,NA
Idaho,2021-01-07,10,1,38,NA,1536,1410,1785,NA,NA
Idaho,2021-01-08,9,1,38,NA,1548,1415,1812,NA,NA
Idaho,2021-01-09,9,1,34,NA,1558,1419,1839,NA,NA
Idaho,2021-01-10,8,1,33,NA,1567,1428,1861,NA,NA
Idaho,2021-01-11,8,0,33,NA,1579,1430,1886,NA,NA
Idaho,2021-01-12,8,1,34,NA,1588,1434,1901,NA,NA
Idaho,2021-01-13,7,0,30,NA,1598,1438,1924,NA,NA
Idaho,2021-01-14,7,0,29,NA,1604,1441,1940,NA,NA
Idaho,2021-01-15,7,0,30,NA,1613,1445,1956,NA,NA
Idaho,2021-01-16,7,0,28,NA,1620,1446,1977,NA,NA
Idaho,2021-01-17,6,0,28,NA,1628,1449,1993,NA,NA
Idaho,2021-01-18,6,0,28,NA,1634,1452,2021,NA,NA
Illinois,2020-12-21,166,75,297,NA,16573,16482,16704,NA,NA
Illinois,2020-12-22,158,78,301,NA,16738,16614,16924,NA,NA
Illinois,2020-12-23,156,72,291,NA,16904,16725,17123,NA,NA
Illinois,2020-12-24,155,74,288,NA,17068,16847,17320,NA,NA
Illinois,2020-12-25,160,77,279,NA,17230,16986,17523,NA,NA
Illinois,2020-12-26,151,78,288,NA,17383,17087,17725,NA,NA
